iter	Passed	Remaining
0	2	213
1	3	161
2	4	143
3	5	128
4	7	149
5	9	143
6	10	137
7	11	134
8	12	129
9	14	129
10	16	133
11	18	133
12	19	129
13	20	125
14	23	131
15	24	128
16	25	125
17	26	121
18	27	118
19	29	117
20	30	115
21	31	113
22	32	110
23	34	107
24	35	106
25	37	106
26	38	104
27	39	101
28	40	99
29	43	100
30	44	98
31	45	96
32	46	94
33	47	92
34	48	90
35	51	91
36	52	89
37	53	87
38	54	85
39	56	84
40	58	83
41	58	81
42	59	79
43	60	77
44	62	75
45	63	74
46	65	74
47	67	72
48	68	71
49	69	69
50	70	68
51	72	66
52	73	65
53	74	63
54	75	61
55	76	60
56	77	58
57	80	58
58	81	56
59	83	55
60	84	53
61	85	52
62	87	51
63	88	50
64	89	48
65	90	46
66	92	45
67	95	44
68	96	43
69	97	41
70	98	40
71	99	38
72	102	38
73	104	36
74	105	35
75	106	33
76	107	32
77	110	31
78	111	29
79	112	28
80	113	26
81	114	25
82	116	23
83	117	22
84	119	21
85	120	19
86	121	18
87	124	16
88	125	15
89	126	14
90	127	12
91	129	11
92	132	9
93	135	8
94	136	7
95	140	5
96	141	4
97	142	2
98	143	1
99	144	0
