iter	Passed	Remaining
0	162	162248
1	163	81731
2	164	54805
3	167	41700
4	168	33605
5	169	28159
6	171	24319
7	173	21554
8	175	19312
9	176	17483
10	177	15984
11	179	14754
12	182	13828
13	183	12920
14	184	12128
15	186	11443
16	187	10843
17	189	10334
18	190	9842
19	191	9403
20	193	9006
21	194	8649
22	197	8370
23	198	8072
24	199	7793
25	200	7528
26	202	7306
27	204	7101
28	205	6888
29	206	6688
30	207	6498
31	209	6343
32	212	6215
33	213	6062
34	214	5916
35	215	5780
36	218	5676
37	219	5553
38	220	5431
39	221	5317
40	224	5246
41	225	5143
42	226	5049
43	228	4958
44	229	4873
45	230	4785
46	233	4730
47	235	4663
48	236	4587
49	238	4535
50	239	4465
51	241	4403
52	243	4346
53	245	4292
54	246	4235
55	247	4174
56	248	4117
57	250	4063
58	251	4006
59	253	3973
60	255	3929
61	256	3881
62	257	3832
63	258	3785
64	260	3749
65	262	3710
66	263	3665
67	264	3622
68	265	3581
69	267	3560
70	269	3525
71	270	3489
72	271	3452
73	273	3426
74	275	3402
75	276	3367
76	278	3332
77	279	3299
78	281	3278
79	283	3257
80	284	3226
81	285	3200
82	286	3166
83	287	3137
84	291	3133
85	292	3106
86	293	3079
87	294	3056
88	296	3039
89	298	3018
90	300	2998
91	302	2982
92	304	2965
93	305	2941
94	306	2920
95	308	2901
96	309	2879
97	312	2872
98	313	2852
99	314	2832
100	315	2810
101	316	2789
102	318	2775
103	320	2762
104	321	2743
105	322	2723
106	324	2706
107	328	2714
108	329	2695
109	330	2677
110	331	2658
111	332	2639
112	333	2621
113	335	2603
114	336	2586
115	337	2569
116	338	2551
117	339	2537
118	342	2532
119	343	2520
120	344	2504
121	345	2487
122	346	2472
123	347	2457
124	348	2442
125	349	2427
126	350	2411
127	352	2398
128	356	2405
129	358	2398
130	359	2386
131	361	2375
132	362	2363
133	363	2352
134	366	2346
135	367	2333
136	368	2321
137	371	2320
138	372	2308
139	373	2296
140	374	2284
141	375	2270
142	376	2259
143	378	2247
144	379	2235
145	380	2224
146	381	2212
147	382	2200
148	383	2191
149	386	2187
150	387	2178
151	388	2167
152	389	2156
153	390	2145
154	391	2135
155	392	2125
156	393	2115
157	394	2104
158	396	2094
159	399	2098
160	401	2090
161	402	2080
162	403	2070
163	404	2061
164	405	2051
165	406	2042
166	407	2033
167	408	2023
168	409	2014
169	410	2005
170	413	2003
171	414	1994
172	415	1986
173	416	1977
174	417	1969
175	419	1965
176	421	1960
177	422	1951
178	423	1943
179	424	1935
180	426	1928
181	427	1923
182	429	1916
183	430	1908
184	431	1900
185	432	1892
186	433	1884
187	434	1876
188	435	1869
189	436	1861
190	437	1854
191	438	1846
